,by,descendants,id,kids,score,time,title,type,url,text
58,dedalus,15.0,36914612,"[36920862, 36918598, 36919956, 36920770, 36918105, 36919139]",122,1690585757,SQLite-Utils,story,https://sqlite-utils.datasette.io/en/stable/index.html,
59,awiesenhofer,119.0,36904785,"[36915996, 36916812, 36920719, 36916722, 36916862, 36916614, 36917894, 36917387, 36917759, 36917036, 36917758, 36912210, 36919976, 36913962, 36917839, 36916753]",126,1690538082,The Resilience of Costco (2018),story,https://minesafetydisclosures.com/blog/2018/6/18/costco,
60,todsacerdoti,335.0,36900782,"[36911138, 36906252, 36905462, 36906299, 36906000, 36906311, 36903749, 36906460, 36905745, 36906086, 36906262, 36906280, 36905790, 36907240, 36905687, 36907565, 36906089, 36905840, 36907772, 36907967, 36906463, 36905549, 36915042, 36908288, 36906302, 36921892, 36905528]",161,1690495597,List of APIs that require declared reasons,story,https://developer.apple.com/news/?id=z6fu1dcu,
61,Hooke,7.0,36900370,"[36922659, 36915201, 36916943, 36916342, 36916140]",52,1690493139,The dream of the personal machine,story,https://kylechayka.substack.com/p/the-dream-of-the-personal-machine,
62,retskrad,725.0,36906472,"[36912204, 36911903, 36912718, 36906531, 36906877, 36911423, 36906936, 36907014, 36906822, 36911629, 36919299, 36906901, 36912237, 36906778, 36912130, 36906792, 36906977, 36907429, 36912016, 36917587, 36915239, 36906787, 36912500, 36915524, 36917144, 36912200, 36907997, 36912264, 36913299, 36911926, 36911911, 36912714, 36915417, 36909831, 36916752, 36913792, 36907003, 36912216, 36907034, 36906942, 36906812, 36914389, 36912066, 36911371, 36906917, 36906800, 36906933, 36911601]",213,1690550900,"US smartphone shipments fall sharply, but Android more than iPhone",story,https://www.counterpointresearch.com/us-smartphone-shipments-q2-2023/,
63,anderiv,312.0,36888954,"[36889237, 36896026, 36890730, 36894904, 36889532, 36889217, 36890206, 36890682, 36893134, 36905986, 36892149, 36890202, 36900509, 36889510, 36889238, 36891020, 36890327]",540,1690432436,Tarsnap outage postmortem,story,https://mail.tarsnap.com/tarsnap-announce/msg00050.html,
64,vvoruganti,80.0,36908265,"[36910429, 36918843, 36909343, 36921940, 36911510, 36909737, 36909941, 36911787, 36911175, 36909332, 36909279, 36910828, 36915812, 36909588, 36913491, 36912400, 36912836, 36913807, 36917355, 36909129, 36914946, 36913586, 36913877, 36914068, 36909592, 36909969, 36917213, 36911460, 36911690, 36909189, 36909768, 36909727, 36909064, 36912061, 36911640, 36909417, 36909438]",241,1690557959,Flash Museum,story,https://flashmuseum.org/,
65,signa11,0.0,36917923,,16,1690617113,Finding bugs in C code with Multi-Level IR and VAST,story,https://blog.trailofbits.com/2023/06/15/finding-bugs-with-mlir-and-vast/,
66,blackbrokkoli,27.0,36913829,"[36921855, 36919476, 36920178, 36918323, 36917704, 36921775, 36913921, 36916099, 36920534, 36919222, 36915002, 36919120, 36915924, 36915211, 36919723, 36915592]",32,1690581005,Show HN: I made a little tool to practice country positions on the world map,story,https://learn-worldmap.netlify.app/,"Hi HN,<p>I built a little tool to help me get better at remembering country locations on the map: <a href=""https:&#x2F;&#x2F;learn-worldmap.netlify.app&#x2F;"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;learn-worldmap.netlify.app&#x2F;</a><p>It&#x27;s made from plain HTML&#x2F;CSS&#x2F;JS, and not intended to make any money or anything. Just thought that maybe someone else may enjoy it. Also of course happy about any feedback!<p>Cheerz."
67,Anon84,1.0,36917466,[36921354],8,1690611728,Computer Scientists Discover Limits of Gradient Descent,story,https://www.quantamagazine.org/computer-scientists-discover-limits-of-major-research-algorithm-20210817/,
68,werner,156.0,36894932,"[36900147, 36900472, 36900533, 36900685, 36901991, 36902438, 36900921, 36900304, 36901075, 36901114, 36904777, 36900712, 36903973, 36902782, 36903695, 36902584, 36914110, 36912165, 36906465, 36901982, 36900429, 36904039, 36902038]",763,1690471235,Building and operating a pretty big storage system called S3,story,https://www.allthingsdistributed.com/2023/07/building-and-operating-a-pretty-big-storage-system.html,
69,gmays,78.0,36909673,"[36913183, 36912245, 36911609, 36911109, 36915731, 36912925, 36913777, 36915107, 36911275]",156,1690562958,An ultra-sensitive on-off switch helps axolotls regrow limbs,story,https://scopeblog.stanford.edu/2023/07/26/how-an-ultra-sensitive-on-off-switch-helps-axolotls-regrow-limbs/,
70,spansoa,76.0,36911481,"[36913742, 36915083, 36914010, 36914225, 36918144, 36919928, 36917792, 36913581, 36913791, 36911784, 36913374, 36915270, 36914872, 36917465]",150,1690570406,Tremor – The React library to build dashboards fast,story,https://www.tremor.so/,
71,mfiguiere,6.0,36918719,"[36919603, 36919469, 36921209, 36919582]",40,1690626244,Apple demands app makers explain use of sensitive APIs,story,https://www.theregister.com/2023/07/29/apple_developer_api/,
72,KolmogorovComp,5.0,36913569,"[36921720, 36921259, 36916919, 36916107, 36916791]",108,1690579499,Mess with DNS,story,https://messwithdns.net,
73,thunderbong,52.0,36912979,"[36914399, 36914171, 36916627, 36916882, 36914209, 36916617, 36919718, 36917341, 36914541, 36914136, 36917047, 36917180, 36915091, 36917070, 36913845, 36915017, 36919251, 36915994, 36916771]",84,1690576706,Real-time monitoring of aerosols generated from toilet flushing,story,https://www.microbiologyresearch.org/content/journal/acmi/10.1099/acmi.fis2019.po0192,
74,pwmtr,375.0,36913268,"[36914016, 36914983, 36917597, 36920586, 36913847, 36917715, 36914887, 36915423, 36915143, 36913961, 36913722, 36919777, 36915802, 36914217, 36913770, 36917318, 36919906, 36917376, 36913759, 36913968, 36917695, 36918888, 36918252, 36915881, 36917633, 36915737, 36913768, 36916256, 36919424, 36915995, 36914619, 36913880, 36915222, 36916178, 36917645, 36915036, 36914915, 36914145, 36918254, 36914133, 36914044, 36913769, 36915663, 36916032, 36914810, 36914722, 36916228, 36914741, 36914583, 36913318, 36914234, 36919087, 36920308]",581,1690578101,The U.K. government is close to eroding encryption worldwide,story,https://www.eff.org/deeplinks/2023/07/uk-government-very-close-eroding-encryption-worldwide,
75,ughitsaaron,8.0,36891873,"[36912712, 36917724, 36913911, 36914086, 36912348]",34,1690456560,Yerkes Observatory: Restoring the World’s Largest Refracting Telescope,story,https://www.grainger.com/know-how/inspiration/kh-yerkes-observatory-restoring-worlds-largest-refracting-telescope,
76,imadkhan,1005.0,36901303,"[36904700, 36906841, 36903624, 36906415, 36903508, 36904645, 36904043, 36903828, 36901385, 36902394, 36902744, 36903551, 36906386, 36904822, 36904622, 36903102, 36903769, 36903766, 36902941, 36904403, 36903199, 36905609, 36903643, 36904677, 36905393, 36905683, 36901404, 36903785, 36903966, 36908940, 36904032, 36903544, 36905937, 36903650, 36903806, 36908111, 36903851, 36907392, 36903816, 36902434, 36908150, 36903372, 36904010, 36910017, 36908457, 36907078, 36916815, 36909849, 36906283, 36908463, 36903627, 36907742, 36903919, 36904220, 36904931, 36903380, 36901419, 36912304, 36906031, 36911836, 36916052, 36905614, 36905849, 36904643, 36906679, 36905326, 36904411, 36905851, 36905607, 36904027, 36906718, 36911392, 36906095, 36902357, 36905642, 36905538, 36908543, 36915204, 36907121, 36909572, 36903874, 36904542, 36906344, 36902974, 36905426, 36906308, 36902448, 36906608, 36904765, 36905529, 36904802, 36904491, 36906444, 36903664, 36902280, 36901965, 36906712, 36907757, 36907073, 36902803, 36907099, 36903621, 36905613, 36904099, 36903164, 36904352, 36906493, 36903684, 36905143, 36906881, 36903151, 36902208, 36907007, 36907406, 36906528, 36903694, 36905638, 36915942, 36902679, 36908346, 36906448, 36906143, 36906067, 36905653, 36905202, 36904518, 36904092, 36903891, 36903762, 36903667, 36903529, 36902983, 36905111, 36921890, 36904502, 36909266, 36906409, 36905234, 36903020, 36901585, 36904581, 36903537, 36904605, 36904750]",671,1690499386,"Ask HN: Is the market bad, or am I having the worst luck job hunting?",story,,"I got laid off at the start of the year, and ever since then, I&#x27;ve been applying constantly but have only gotten one interview. Before being laid off, I held a job as a front-end dev for the previous 5 and a half years.<p>I&#x27;ve had my resume looked at by three different services (TopResume, Indeed, Levels.fyi) and am currently subscribed to Resume Worded, which scores my resume. Despite all these efforts, I keep receiving rejection emails.<p>So, I just wanted to reach out and see if anyone else has had any similar experiences with applying for jobs."
77,jsnell,116.0,36904080,"[36905896, 36905532, 36906859, 36905591, 36905646, 36905536, 36907831, 36908907, 36907408, 36906253, 36905595, 36908352, 36906461, 36905948, 36908058, 36909062, 36906497, 36913793, 36907628, 36906174, 36910726, 36905506, 36911059, 36905510, 36914758]",279,1690530493,Environmental Discs of Tron Roadside Pickup,story,https://arcadeblogger.com/2023/07/22/environmental-discs-of-tron-roadside-pickup/,
78,mutant_glofish,16.0,36917089,"[36917237, 36917279, 36918679, 36920099, 36918042, 36918826, 36919895, 36918481, 36918231, 36918657, 36917243]",61,1690606548,Is everything we eat associated with cancer? A systematic cookbook review (2013),story,https://pubmed.ncbi.nlm.nih.gov/23193004/,
79,rcarmo,5.0,36918582,"[36920418, 36920028]",27,1690624626,Would We Recognize Extraterrestrial Technology If We Saw It?,story,https://hackaday.com/2023/07/28/would-we-recognize-extraterrestrial-technology-if-we-saw-it/,
80,skinner_,4.0,36913444,"[36918295, 36917631]",35,1690578968,Mathematicians Solve Long-Standing Coloring Problem,story,https://www.quantamagazine.org/mathematicians-break-bounds-in-coloring-problem-20230719/,
81,longdefeat,36.0,36902378,"[36917423, 36913233, 36913108, 36918771, 36918436, 36913230, 36912485, 36912025]",67,1690509598,"Out of the crooked timber of humanity, no straight thing was ever made",story,https://theconvivialsociety.substack.com/p/embrace-your-crookedness,
82,luu,2.0,36901711,"[36920382, 36917449]",15,1690502724,A review of one puzzle from Quern: Undying Thoughts,story,https://novalis.org/blog/2023-07-26-a-review-of-one-puzzle-from-quern-undying-thoughts-.html,
83,mfiguiere,0.0,36920656,,7,1690640922,Forget subtitles: YouTube now dubs videos with AI-generated voices,story,https://restofworld.org/2023/youtube-ai-dubbing-automated-translation/,
84,t1tech,153.0,36906140,"[36906150, 36908242, 36909113, 36915577, 36907734, 36908499, 36907950, 36911762, 36907718, 36911560, 36910274, 36909680, 36907592, 36911312, 36908286, 36910449, 36907388, 36907759, 36908703, 36911850, 36907446, 36908284, 36911652, 36908212]",175,1690549198,Cophone – Mobile work phones running in the cloud,story,https://cophone.io/,
85,remywang,118.0,36889656,"[36905874, 36910034, 36905871, 36904796, 36921798, 36912048, 36904986, 36909248, 36922068, 36905487, 36904879, 36912461, 36907365, 36906908, 36910988, 36905012, 36905807, 36911649, 36906345, 36907661, 36907345, 36906010, 36913472, 36914816, 36911937, 36911236, 36905084, 36907166, 36906293, 36904836, 36906053, 36914801, 36905655, 36913708, 36909128, 36908537, 36905691, 36905398]",261,1690438932,How to check if two SQL tables are the same,story,https://github.com/remysucre/blog/blob/main/posts/sql-eq.md,
86,eimrine,1.0,36922361,[36922683],5,1690650982,Ask HN: Who is your favourite living philosopher?,story,,"Which living philosopher has changed the world the most? Which of the living philosophers is the most truthful, at least in theory? What should a person do in 2023 for you to recognize him as a philosopher?"
87,lardass,15.0,36913103,"[36920443, 36920077, 36916548, 36916677, 36919475, 36920884, 36914291, 36917407, 36918176, 36914065]",47,1690577308,Wordward Draw,story,https://managore.itch.io/wordward-draw,
88,optimalsolver,58.0,36903862,"[36909896, 36912323, 36910401, 36909959, 36914736]",150,1690528238,"Pyro: A universal, probablistic programming language",story,https://pyro.ai/,
89,carride,253.0,36896034,"[36896742, 36919758, 36901399, 36919640, 36906050, 36900272, 36897460, 36896499, 36897630, 36898313, 36898136, 36901632, 36908587, 36897588, 36897203, 36896825, 36896612, 36902207, 36898527, 36898051, 36896746, 36903781, 36898417, 36898250, 36905465, 36898789, 36898478, 36898127, 36898029, 36897110, 36905782, 36897698, 36901967, 36898117, 36898148, 36902577, 36897075, 36897524, 36897948, 36897546, 36897690, 36896688, 36902036]",671,1690475254,BlazingMQ: High-performance open source message queuing system,story,https://bloomberg.github.io/blazingmq/,
90,etiam,470.0,36881808,"[36883888, 36885387, 36884738, 36888471, 36885217, 36881909, 36883934, 36886672, 36891929, 36898795, 36883598, 36884258, 36886525, 36890379, 36884183, 36894074, 36892636, 36887972, 36883877, 36884048, 36884309, 36888268, 36883753, 36889029, 36889558, 36883964, 36886535, 36885444, 36893463, 36885748, 36890839, 36890982, 36893868, 36888814, 36883833, 36886217, 36890043, 36889327, 36884735, 36889730, 36884711, 36883933, 36886240, 36886220, 36888633, 36913624, 36918913, 36886726, 36883905]",1207,1690393590,"Superconductor news: What’s claimed, and how strong the evidence seems to be",story,https://www.science.org/content/blog-post/breaking-superconductor-news,
91,thunderbong,138.0,36917561,"[36917753, 36917793, 36918199, 36921470, 36918925, 36919300, 36918356, 36917843]",161,1690612884,"Hugging Face, GitHub and more unite to defend open source in EU AI legislation",story,https://venturebeat.com/ai/hugging-face-github-and-more-unite-to-defend-open-source-in-eu-ai-legislation/,
92,caiobegotti,257.0,36892970,"[36893821, 36895166, 36893648, 36895616, 36894163, 36898222, 36896181, 36893496, 36893606, 36893309, 36893427, 36894261, 36899225, 36893398, 36896306, 36899929, 36893684, 36893310, 36893712, 36893842, 36897145, 36899973, 36903507, 36893833, 36894359, 36899529, 36894164, 36899675, 36899858, 36894537, 36893958, 36896637, 36893670, 36893200, 36897465, 36899634, 36893471, 36898794, 36893364, 36893578, 36895902, 36896003, 36893266, 36898431, 36894858, 36898101, 36899021]",622,1690463801,Wavy walls use fewer bricks than a straight wall (2020),story,https://twistedsifter.com/2020/06/how-wavy-crinkle-crankle-walls-use-less-bricks-than-straight-walls/,
93,Alifatisk,5.0,36914888,"[36919422, 36922326, 36916041]",23,1690587602,Mint – language created for writing single-page applications,story,https://mint-lang.com/,
94,Tomte,0.0,36917596,,4,1690613358,St Francis of Assisi,story,https://www.lrb.co.uk/the-paper/v45/n15/mary-wellesley/at-the-national-gallery,
95,MadcapJake,132.0,36907674,"[36908524, 36908495, 36909376, 36908098, 36912702, 36908388, 36920748, 36918260, 36908771, 36908331, 36908426, 36908590, 36908844, 36908216, 36908604, 36916935, 36913084, 36909284, 36908379, 36908538, 36908511, 36908513, 36908308, 36912679]",107,1690556082,Rain Panels: Harvesting the energy of falling raindrops,story,https://thedebrief.org/forget-solar-panels-here-come-rain-panels/,
96,Brajeshwar,0.0,36920921,,5,1690642800,"For the first time ever, NASA scientists are taking UFOs seriously",story,https://www.bbc.com/future/article/20230726-the-weird-incidents-piquing-nasas-interest,
97,Tomte,54.0,36903282,"[36915038, 36914674, 36916662, 36915285, 36915365, 36916172, 36916430, 36914354, 36915814, 36915525, 36914336]",74,1690520862,Glass Dip Pens (2022),story,https://neonaut.neocities.org/microblog/2022/glass-dip-pens,
98,trevin,368.0,36910256,"[36910729, 36910568, 36910804, 36910850, 36910923, 36911193, 36910985, 36910633, 36914125, 36920558, 36911859, 36912717, 36911725, 36910977, 36910639, 36911673, 36910872, 36912155, 36911523, 36916215, 36911905, 36912768, 36911559, 36914306, 36911338, 36912354, 36914131, 36913989, 36910662, 36913874, 36918150, 36913122, 36911399, 36911295, 36913932, 36910983, 36913429, 36912517, 36912009, 36913058, 36912310, 36917841, 36914524, 36912864]",429,1690565321,Play deprivation is a major cause of the teen mental health crisis,story,https://jonathanhaidt.substack.com/p/the-play-deficit,
99,stevefan1999,10.0,36902877,"[36904489, 36903641, 36905439, 36905884]",59,1690515146,Implementing Fast Barriers for a Shared-Memory Cluster of 1024 RISC-V Cores,story,https://semiengineering.com/implementing-fast-barriers-for-a-shared-memory-cluster-of-1024-risc-v-cores/,
